system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_06_30,35.30963999655495,20.58425143560288,14.72538856095207,2000,2000-06-30,30,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_01,29.235783410138254,21.73525705001748,7.500526360120773,2000,2000-07-01,1,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_02,37.06792167101827,21.57023119042799,15.497690480590279,2000,2000-07-02,2,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_03,-9999,17.200395683453223,-9999,2000,2000-07-03,3,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_04,36.737202278218774,21.456921055016664,15.28028122320211,2000,2000-07-04,4,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_05,31.983494200321672,19.217499272762495,12.765994927559177,2000,2000-07-05,5,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_06,35.50685813751085,21.24452447192158,14.262333665589267,2000,2000-07-06,6,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_07,32.4491738927739,22.761671826625445,9.687502066148454,2000,2000-07-07,7,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_08,29.886252326014073,18.929299772899412,10.956952553114661,2000,2000-07-08,8,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_09,32.6393440142412,18.982271341463445,13.657072672777758,2000,2000-07-09,9,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_10,-9999,-9999,-9999,2000,2000-07-10,10,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_07_11,27.306259081393875,15.072424530544424,12.233834550849451,2000,2000-07-11,11,7,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
